Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
MNM,MARBRERIE NEW MODE,Anis Helal,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. - 7060 - UTIQUE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Utique,(216) - 72 494 240 / 55 225 352,,info@newmode.com.tn,http://www.newmode.com.tn,Non totalement exportatrice,,30/07/1997,500 000,17.0,Banque de Tunisie
MODUBAT,MODUBAT,Hayet Guediri,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Tuiles, dalles et blocs en béton.",Z.I. - 6030 - MENZEL EL HABIB,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Menzel el habib,(216) - 28 871 107 / 20 420 309,,modubat@yahoo.fr,,Non totalement exportatrice,,27/02/2014,-,12.0,Banque Zitouna
MONDIAL MARBRE,MONDIAL MARBRE,Riadh M'khinini,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE DE SFAX - 4070 - M'SAKEN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 261 454,(216) - 73 264 066,riadh@groupemekhinini-mr.com,,Non totalement exportatrice,,20/07/1995,-,25.0,Société tunisienne de banque
MOSAICA DESIGN,STE MOSAICA DESIGN,Tarek Rourou,Industries des matériaux de construction céramique et verre,Autres articles en verre.,Autres produits en verre.,"52 BIS, RUE MOSQUEE ERRAOUDHA - 2036 - LA SOUKRA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,La Soukra,(216) - 70 695 580,(216) - 70 695 586,amara19720701@gmail.com,http://www.gaudimosaique.com.tn,Non totalement exportatrice,,29/02/2012,155 000,15.0,Amen Bank
MPC ESSID,MANUF DE PRODUITS CERAMIQUES ESSID ET CIE,Zouheir Essid,Industries des matériaux de construction céramique et verre,Carreaux en céramique.,Carreaux de revêtement en céramique.,Z.I. - 8011 - DAR CHAABANE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Dar chaabane e.fehri,(216) - 72 363 000,(216) - 72 361 000,essid.groupe@planet.tn,,Non totalement exportatrice,,06/03/1985,5 785 136,240.0,Banque de Tunisie
MSF (MONASTIR),MARBRERIE SAYADI ET FILS,Faycel Douki,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,"Z.I. DKHILA, RTE DE SOUSSE - 5012 - SAHLINE","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Monastir,(216) - 73 525 238,(216) - 73 525 239,marbreriesayadietfils@yahoo.fr,,Non totalement exportatrice,,11/03/2002,100 000,41.0,Banque internationale arabe de Tunisie
MTVM,MAISON TNNE DE VERRERIE ET DE MIROITERIE,Ahmed Ben Amar,Industries des matériaux de construction céramique et verre,Verre plat - Façonnage et transformation du verre plat - Verre creux (verre de table et bouteillerie).,"Verres plast, étirés, coulés ou flottés - Verres armés, verres imprimés, verres teintés, etc. - Verres de sécurité, trempés ou contrecollés - Vitrage isolant - Miroirs en verre - Décoration du verre creux.","RTE DE GABES KM 0,5 - 3003 - SFAX CITE DE MARTYRS","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ville,(216) - 26 467 809,(216) - 74 467 440,mtvmsfax@yahoo.com,http://www.mtvm-tunisie.com,Non totalement exportatrice,,01/01/1980,-,10.0,Société tunisienne de banque
NAILY HOUCINE,NAILY HOUCINE,Houcine Naily,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Tuiles, dalles et blocs en béton - Bordures de trottoir.",Z.I. LASSOUDA - 9173 - KHECHEM,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sidi Bouzid,Sidi bouzid est,(216) - 97 489 978 / 24 576 921,,,,Non totalement exportatrice,,01/12/2016,-,15.0,Banque de l'habitat
NLLE DE SILICE,STE NLLE DE SILICE,Amine Ben Halima,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers.,9112 - EL FAIEDH,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sidi Bouzid,Sidi bouzid est,(216) - 22 133 167 / 20 838 838,(216) - 74 497 958,snsilice@gmail.com,,Non totalement exportatrice,,16/01/2019,550 000,56.0,Société tunisienne de banque
NOUMIDIA MARBRE,STE NOUMIDIA MARBRE,Rabeh Sdiri,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. OUED REMAL - 7100 - LE KEF,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Le kef ouest,(216) - 78 224 100,,sdirirabeb@yahoo.fr,,Non totalement exportatrice,,22/01/2016,364 000,27.0,Banque internationale arabe de Tunisie
PAVES EL MORJANE,PAVES EL MORJANE,Salah Ghanmi,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir - Autobloquants pour la construction.,Z.I. - 8110 - TABARKA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Tabarka,(216) - 97 503 762 / 78 673 319,(216) - 78 672 404,nabil06ghanmi@hotmail.com,,Non totalement exportatrice,,01/10/2010,-,15.0,Banque Zitouna
PETROCHEM INDUSTRIES,PETROCHEM INDUSTRIES,Tharouet Thabti,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Autres pierres et marbre.,Z.I. - 6000 - GABES,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 71 861 541 / 50 960 042,(216) - 71 861 809,petrochem@planet.tn,,Totalement exportatrice,Turquie,01/10/2016,2 400 000,10.0,Société tunisienne de banque
PHARMA CLEAN ROOM,PHARMA CLEAN ROOM,Kais Sayed,Industries des matériaux de construction céramique et verre,Dérivés de plâtre.,Plaques nues ou doublées en plâtre.,RUE FADHEL BEN ACHOUR - 4022 - AKOUDA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Akouda,(216) - 73 356 711,(216) - 73 356 712,kais.sayed@pharmaclean.net,,Non totalement exportatrice,,14/06/2013,55 000,56.0,Union internationale de banques
PIERRE DE CARTHAGE,STE PIERRE DE CARTHAGE,Abdessatar Mahfoudh,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"RTE DE BIZERTE KM 1,5 - 7016 - EL ALIA","Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,El alia,(216) - 72 453 330,,pierredecarthage@yahoo.fr,,Non totalement exportatrice,,02/05/2007,150 000,19.0,Banque de Tunisie
PIERRES DECORATIVES ET MARBRIERES,STE PIERRES DECORATIVES ET MARBRIERES,Kamel Dalhoumi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. RTE DE THALA - 1200 - KASSERINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kasserine,Kasserine nord,(216) - 98 501 066,,,,Non totalement exportatrice,,04/10/2013,260 000,66.0,Arab Tunisian Bank
PLEMIVER,PLEMIVER,Nabil Aouadi,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Miroirs en verre.,"Z.I. AFI, GP 5 - 7100 - LE KEF","Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Le kef est,(216) - 78 223 900,(216) - 78 223 600,,,Non totalement exportatrice,,13/03/2002,290 000,22.0,Banque de Tunisie
POLYBETON,POLYBETON,Mohamed Ghorbal,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir - Eléments de voirie ou d'assainissement en béton - Autres articles en béton.,Z.I. - 1111 - JEBEL EL OUST,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 71 949 949 / 72 640 446,(216) - 71 947 644 / 72 640 438,contact@polybeton.com.tn,http://www.polybeton.com.tn,Non totalement exportatrice,,31/03/1981,1 950 000,51.0,Amen Bank
POTERIE HASSIKI,POTERIE HASSIKI,Hichem Hassiki,Industries des matériaux de construction céramique et verre,"Articles ménagers en porcelaine, faïence et grès - Carreaux en céramique - Briques et hourdis.",Carreaux de revêtement en céramique - Tuiles en terre cuite - Vaisselle de ménage en faience.,RUE DU VERRE - 8000 - NABEUL,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Nabeul,(216) - 72 223 184,(216) - 72 271 623,hassiki.ceram@gmail.com,,Non totalement exportatrice,,01/01/1994,18 000,15.0,Société tunisienne de banque
POTERIE SLAMA,STE POTERIE SLAMA,Imed Slama,Industries des matériaux de construction céramique et verre,"Articles ménagers en porcelaine, faïence et grès.",Articles décoratifs en céramique artistique.,Z.I. - 8000 - NABEUL,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Nabeul,(216) - 72 230 140,(216) - 72 230 136,commercial@poterieslama.com,http://www.poterie-slama.com,Non totalement exportatrice,,01/04/1996,100 000,85.0,Banque de Tunisie
PROMOVERRE,PROMOVERRE,Abid Souheil,Industries des matériaux de construction céramique et verre,Façonnage et transformation du verre plat.,Autres verres plats façonnés.,RTE DE BIZERTE KM 5 - 2094 - M'NIHLA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,El mnihla,(216) - 98 329 427 / 70 563 500,(216) - 71 555 000,info@promoverre.com,,Non totalement exportatrice,,27/12/1996,450 000,46.0,Amen Bank
PTS,PREFABRICATION ET TRAITEMENT DU SABLE,Abderrahman Gargouri,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre - Articles en ciment ou en béton (tuyaux et conduits).,Tuyaux et conduits en béton - Sables de carrière.,RTE DE AGEREB KM 13 CEINTURE EL KHAZZAETTE - 3030 - AGAREB,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Agareb,(216) - 74 659 030,(216) - 74 659 933,pts@lmgtph.tn,,Non totalement exportatrice,,07/06/2001,3 815 000,15.0,Arab Tunisian Bank
RAM MARBRERIE,RAM MARBRERIE,Mondher Cherif,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,Z.I. - 6071 - GABES PORT,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ville,(216) - 71 348 704 / 75 266 031,(216) - 71 348 690 / 75 266 030,rammarberie@hexabyte.tn,,Non totalement exportatrice,,01/08/2016,900 000,14.0,Banque de Tunisie
REKA GRANITE INDUSTRY,REKA GRANITE INDUSTRY,Wael  Jahdour,Industries des matériaux de construction céramique et verre,Articles sanitaires en céramique.,Eviers.,Z.I. - 5140 - SOUASSI,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,Essouassi,(216) - 29 881 739,,jahdour.wael@gmail.com,,Non totalement exportatrice,,19/10/2022,200 000,15.0,Banque de Tunisie
RETEL PREFAB,STE RETEL PREFAB,Slim Hentati,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Tuiles, dalles et blocs en béton - Bordures de trottoir - Autres articles en béton.",RTE KHELIDIA - 1145 - MOUHAMADIA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Mohamedia,(216) - 71 940 389 / 22 315 808,(216) - 71 940 383,lotfi.rkai@groupetawasol.com,,Non totalement exportatrice,,31/01/2015,200 000,10.0,Attijari Bank
RMA,SADIKA RMA,Sadika Keskes,Industries des matériaux de construction céramique et verre,Verre creux (verre de table et bouteillerie).,"Flacons,  pots, bocaux en verre - Articles décoratifs en verre ordinaire ou soufflé.",ZONE TOURISTIQUE GAMMARTH BP 31 - 2076 - MARSA ERRIADH,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,La marsa,(216) - 71 274 225 / 54 167 232,(216) - 71 274 214,f.kamoun@sadika.com,http://www.sadika.com,Non totalement exportatrice,,25/11/1991,60 000,14.0,Amen Bank
ROYAL BETON,STE ROYAL BETON,Noomen Ben Amer,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,"RTE DE TUNIS KM 13,5 - 3021 - SAKIET EZZIT","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet ezzit,(216) - 74 273 444,(216) - 74 273 333,ghazi.zouari@royalbeton.com.tn,,Non totalement exportatrice,,03/02/2011,620 000,18.0,Banque nationale agricole
S.B.C.,STE BETON DU CENTRE,Selma Ben Brahim,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,Z.I. EL BATEN - 3129 - CITE EL HAJJAM,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Kairouan nord,(216) - 97 954 384 / 25 983 785,(216) - 77 305 500,,,Non totalement exportatrice,,25/07/2013,300 000,20.0,Banque de Tunisie
SANIBEL,SANIBEL,Kamel Ben Yahia,Industries des matériaux de construction céramique et verre,Articles sanitaires en céramique.,Baignoires en céramique - Receveurs de douches - Eviers - Lavabos - Meubles de salle de bain.,"RUE HAROUN ERRACHID, Z.I. KSAR SAID - 2086 - DOUAR HICHER","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,Douar Hicher,(216) - 71 545 121 / 71 545 633,(216) - 71 545 154,sanibel.export@planet.tn,http://www.sanibel.com.tn,Non totalement exportatrice,,23/01/1993,2 000 000,22.0,Banque internationale arabe de Tunisie
SANIMED,SANIMED,Abderrahmen Khochteli,Industries des matériaux de construction céramique et verre,Articles sanitaires en céramique.,Ensembles sanitaires - Eviers - Receveurs de douches - Lavabos - Bidets - Cuvettes - Accessoires de salles de bain - Autres appareils sanitaires en céramique.,"RTE DE GREMDA KM 10,5 - 3012 - MARKEZ SAHNOUN","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax sud,(216) - 74 658 777,(216) - 74 658 822,info@sanimed.com.tn,http://www.sanimed.com.tn,Non totalement exportatrice,,13/01/2000,16 554 000,500.0,Banque nationale agricole
SBS,STE DE BETON ET SERVICE,Fethi Khazraoui,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,RTE MATMATA - 6012 - SIDI BOULBABA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes sud,(216) - 27 234 003,,societebetonetservices@gmail.com,,Non totalement exportatrice,,02/07/2017,710 970,10.0,Arab Tunisian Bank
SCC (CHEBIKA),STE CHIHA DES CARRIERES,Ali Chiha,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers - Sables de concassage.,EL HOUEREB - 3121 - CHEBIKA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Echbika,(216) - 77 301 270 / 77 229 316,(216) - 77 301 220,,,Non totalement exportatrice,,11/02/1993,600 000,55.0,Banque nationale agricole
SCE (ENFIDHA),STE DES CIMENTS D'ENFIDHA,Mohamed Ali Ben Said,Industries des matériaux de construction céramique et verre,Ciment.,Ciment gris ou ordinaire.,"10, RTE DE ZAGHOUANE - AIN M'DHAKER- BP:132 - 4030 - ENFIDHA","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Enfidha,(216) - 70 245 920 / 56 832 124,(216) - 73 333 334 / 73 333 331,wassila.hassine@gcpv.com,,Non totalement exportatrice,Arabie Seoudite - Espagne,23/03/1983,55 487 480,474.0,Banque nationale agricole
SCG (GABES),STE DES CIMENTS DE GABES,Majed Athimen,Industries des matériaux de construction céramique et verre,Ciment - Chaux.,Ciment gris ou ordinaire - Autres ciments - Chaux vive et chaux éteinte.,RTE EL HAMMA KM 10 BP 101 - 6000 - GABES,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ouest,(216) - 71 950 952 / 75 350 722,(216) - 71 950 939 / 75 350 072,,http://www.secil.pt,Non totalement exportatrice,Portugal,01/06/1977,14 661 950,192.0,Attijari Bank
SCIMACO MEGA BETON,STE SCIMACO MEGA BETON,Mourad Chaieb,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir - Autres articles en béton.,RTE DE JEMMAL - 5036 - MENZEL HARB,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Bembla,(216) - 73 414 000,(216) - 73 414 201,mega-beton@topnet.tn,,Non totalement exportatrice,,01/03/1999,3 396 147,54.0,Banque de Tunisie
SCK (TESTOUR),STE DES CARRIERES EL KHAMASSI,Habib  Khamassi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers.,SLOUGUIA - 9060 - TESTOUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Testour,,,,,Non totalement exportatrice,,31/01/2002,-,17.0,Amen Bank
SCM,STE CERAMIQUE MOKNINE,Hatem Jerbi,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées.,RTE DE JEMMAL KM 2 - 5050 - MOKNINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Moknine,(216) - 73 475 035,(216) - 73 435 914,jerbihatem@yahoo.fr,http://www.scm-briquespleines.com,Non totalement exportatrice,,01/07/1993,3 520 000,70.0,Amen Bank
SCS,STE LES CERAMIQUES DU SUD,Anis Karoui,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées - Hourdis - Autres produits en terre cuite.,Z.I. RTE DE BEN GUERDANE - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine sud,(216) - 29 101 108 / 75 624 780,(216) - 75 624 655 / 75 624 780,cerasud@hotmail.fr,,Non totalement exportatrice,,01/04/1976,20 000 000,89.0,Société tunisienne de banque
SCTM,STE DE COUPE ET DE TRAVAIL DE MARBRE,Adel Dahmani,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"14, Z.I. EL AGBA - 2087 - ZAHROUNI FOLLA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,El hararia,(216) - 71 842 911 / 58 553 000,(216) - 71 842 866 / 71 646 477,sctm@sctm.com.tn,,Non totalement exportatrice,,04/08/2010,1 400 000,50.0,Banque de Tunisie
SDIRI ET TOUIHRI DE MARBRE,STE SDIRI ET TOUIHRI DE MARBRE,Rabeh Sdiri,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. KEF EST - 7121 - BARNOUSSA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Le kef est,(216) - 97 772 537,,sdiri.rabeh@yahoo.fr,,Non totalement exportatrice,,12/10/2009,206 500,12.0,Société tunisienne de banque
SDMT,STE DE DECORATION DE MARBRE ET DE TRANSFORMATION,Houcine Klich,Industries des matériaux de construction céramique et verre,Autres produits céramiques - Travail de la pierre.,"Monuments funéraires en pierre - Autres produits à base de pierre - Autres produits céramiques n.c.a. - Ouvrages en pierre, sculptés, taillés.","23, RUE 4850 - 1095 - SIDI HASSINE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Sidi hassine,(216) - 71 934 077,(216) - 71 934 077,gerant@sdmt.com.tn,,Non totalement exportatrice,,10/07/1997,50 000,12.0,Banque de Tunisie
SELECT BETON (BEN AROUS),SELECT BETON (BEN AROUS),Ramon Salvatella,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,"KM 4,5 AUTOROUTE SUD - 2013 - BEN AROUS","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Ben arous,(216) - 71 656 252 / 98 346 776,,selectbeton@gcpv.com,,Non totalement exportatrice,Espagne,01/04/1994,2 091 400,35.0,Amen Bank
